RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,date,dropoff_date,temperature_2m,relative_humidity_2m,rain,snowfall,snow_depth,pressure_msl,wind_speed_100m,wind_direction_100m
,188,181,,2.92,21.64,2.75,0.0,0.0,0.0,0.3,24.69,,2021-07-17 09:00:00+00:00,2021-07-17 09:13:00,42.9908,82.24904,3.0,0.0,0.0,1019.9,10.24578,288.43503
,117,117,,2.25,21.24,2.75,0.0,0.0,0.0,0.3,24.29,,2021-07-02 11:00:00+00:00,2021-07-02 11:11:00,42.450798,77.67137,0.2,0.0,0.0,1014.0,3.396233,302.00534
,244,132,,20.33,67.86,0.0,0.0,16.48,6.55,0.3,91.19,,2021-07-29 17:00:00+00:00,2021-07-29 18:07:00,40.3808,82.35297,0.0,0.0,0.0,1013.0,4.829907,243.43501
,42,131,,15.86,57.97,0.0,0.0,0.0,6.55,0.3,64.82,,2021-07-21 16:00:00+00:00,2021-07-21 17:12:00,31.650799,97.13175,0.0,0.0,0.0,1013.9,4.3498964,155.55606
,195,37,,7.37,24.62,0.0,0.0,5.54,0.0,0.3,30.46,,2021-07-04 22:00:00+00:00,2021-07-04 22:48:00,28.5008,78.14828,0.0,0.0,0.0,1013.6,5.634891,116.56499
,7,258,,13.19,41.06,0.0,0.0,0.0,0.0,0.3,41.36,,2021-07-04 23:00:00+00:00,2021-07-04 23:51:00,27.9608,78.69505,0.0,0.0,0.0,1013.5,7.5170207,106.699326
,72,39,,4.07,23.83,2.75,0.0,0.0,0.0,0.3,26.88,,2021-07-31 15:00:00+00:00,2021-07-31 15:25:00,43.8908,49.41988,0.0,0.0,0.0,1014.2,5.5887027,284.93146
,61,61,,1.1,13.98,5.5,0.0,0.0,0.0,0.3,19.78,,2021-07-31 16:00:00+00:00,2021-07-31 16:07:00,42.090797,52.557533,0.0,0.0,0.0,1014.9,3.6,306.86996
,165,257,,2.04,16.73,2.75,0.0,0.0,0.0,0.3,19.78,,2021-07-13 10:00:00+00:00,2021-07-13 10:11:00,40.8308,59.649654,0.0,0.0,0.0,1013.0,15.141414,251.99574
,74,183,,8.38,34.69,2.75,0.0,0.0,0.0,0.3,37.74,,2021-07-23 15:00:00+00:00,2021-07-23 15:34:00,43.5308,48.995766,0.0,0.0,0.0,1012.9,0.35999998,180.0
,39,181,,6.73,28.03,2.75,0.0,0.0,0.0,0.3,31.08,,2021-07-23 16:00:00+00:00,2021-07-23 16:41:00,36.4208,64.588425,0.0,0.0,0.0,1013.3,2.968636,104.03627
,119,69,,1.96,15.95,1.35,0.0,0.0,0.0,0.3,17.6,,2021-07-23 16:00:00+00:00,2021-07-23 16:13:00,36.4208,64.588425,0.0,0.0,0.0,1013.3,2.968636,104.03627
,65,210,,15.54,38.51,2.75,0.0,0.0,0.0,0.3,41.56,,2021-07-29 17:00:00+00:00,2021-07-29 17:43:00,40.3808,82.35297,0.0,0.0,0.0,1013.0,4.829907,243.43501
,29,61,,8.3,33.4,2.75,0.0,0.0,6.55,0.3,43.0,,2021-07-21 17:00:00+00:00,2021-07-21 17:57:00,30.0308,99.270615,0.0,0.0,0.0,1013.5,5.3999996,180.0
,91,91,,0.79,11.45,2.75,0.0,0.0,0.0,0.3,14.5,,2021-07-21 17:00:00+00:00,2021-07-21 17:06:00,30.0308,99.270615,0.0,0.0,0.0,1013.5,5.3999996,180.0
,225,139,,12.66,49.35,2.75,0.0,0.0,0.0,0.3,52.4,,2021-07-07 10:00:00+00:00,2021-07-07 10:46:00,42.540802,80.20344,1.7,0.0,0.0,1018.9,5.154415,24.775122
,210,200,,25.54,67.76,2.75,0.0,0.0,9.55,0.3,80.36,,2021-07-07 10:00:00+00:00,2021-07-07 11:04:00,42.540802,80.20344,1.7,0.0,0.0,1018.9,5.154415,24.775122
,119,55,,29.41,83.9,2.75,0.0,0.0,6.55,0.3,93.5,,2021-07-05 02:00:00+00:00,2021-07-05 02:48:00,39.3008,71.452675,0.0,0.0,0.0,1013.8,8.891344,111.3707
,39,181,,5.98,28.03,2.75,0.0,0.0,0.0,0.3,31.08,,2021-07-05 05:00:00+00:00,2021-07-05 05:21:00,51.450798,42.34609,0.0,0.0,0.0,1011.7,6.9153743,231.34016
,62,188,,0.74,16.73,2.75,0.0,0.0,0.0,0.3,19.78,,2021-07-11 09:00:00+00:00,2021-07-11 09:04:00,46.2308,73.47975,0.5,0.0,0.0,1014.7,12.074766,259.69522
,129,179,,2.2,16.83,2.75,0.0,0.0,0.0,0.3,19.88,,2021-07-19 13:00:00+00:00,2021-07-19 13:14:00,42.720802,68.787605,0.0,0.0,0.0,1011.4,8.089993,290.85452
,181,89,,3.47,19.7,5.5,0.0,0.0,0.0,0.3,25.5,,2021-07-31 16:00:00+00:00,2021-07-31 16:21:00,42.090797,52.557533,0.0,0.0,0.0,1014.9,3.6,306.86996
,196,193,,175537.35,12.39,2.75,0.0,0.0,0.0,0.3,15.44,,2021-07-13 11:00:00+00:00,2021-07-13 12:20:00,39.6608,63.116173,0.0,0.0,0.0,1013.5,12.413477,240.4613
,56,56,,0.0,36.62,2.75,0.0,0.0,0.0,0.3,39.67,,2021-07-17 10:00:00+00:00,2021-07-17 10:03:00,46.860798,78.328804,0.1,0.0,0.0,1018.2,5.6920996,251.56496
,134,175,,4.82,29.45,2.75,0.0,0.0,0.0,0.3,32.5,,2021-07-17 10:00:00+00:00,2021-07-17 10:10:00,46.860798,78.328804,0.1,0.0,0.0,1018.2,5.6920996,251.56496
,159,18,,3.71,19.0,0.0,0.0,4.29,0.0,0.3,23.59,,2021-07-17 10:00:00+00:00,2021-07-17 10:19:00,46.860798,78.328804,0.1,0.0,0.0,1018.2,5.6920996,251.56496
,258,252,,9.86,27.75,2.75,0.0,0.0,0.0,0.3,30.8,,2021-07-17 11:00:00+00:00,2021-07-17 11:25:00,40.8308,85.670395,3.8,0.0,0.0,1020.8,11.792404,282.33908
,36,41,,11.29,28.37,2.75,0.0,0.0,6.55,0.3,37.97,,2021-07-02 13:00:00+00:00,2021-07-02 13:42:00,38.5808,88.96581,0.1,0.0,0.0,1015.5,4.3349743,85.23644
,146,226,,1.09,16.83,2.75,0.0,0.0,0.0,0.3,19.88,,2021-07-29 19:00:00+00:00,2021-07-29 19:04:00,39.8408,81.7267,0.0,0.0,0.0,1013.2,4.198285,239.0363
,179,87,,17.19,39.6,2.75,0.0,0.0,6.55,0.3,49.2,,2021-07-07 10:00:00+00:00,2021-07-07 11:39:00,42.540802,80.20344,1.7,0.0,0.0,1018.9,5.154415,24.775122
,222,93,,8.73,51.55,2.75,0.0,0.0,0.0,0.3,54.6,,2021-07-07 10:00:00+00:00,2021-07-07 10:22:00,42.540802,80.20344,1.7,0.0,0.0,1018.9,5.154415,24.775122
,151,18,,12.36,31.46,2.75,0.0,0.0,3.0,0.3,37.51,,2021-07-21 20:00:00+00:00,2021-07-21 20:20:00,26.1608,99.62814,0.0,0.0,0.0,1012.4,4.5536795,198.43504
